time,open,high,low,close,px_volume,px_vwap,px_vwap_anchor
1782171300,4192.45,4195.08,4192.17,4194.98,1311,4191.560901895822,0
1782171600,4194.98,4195.39,4194.2,4195,1000,4191.7187543616465,0
1782171900,4195,4195,4189.99,4190.85,1671,4191.735611720963,0
1782172200,4190.85,4190.93,4186.86,4187.52,2092,4191.456021984551,0
1782172500,4187.51,4189.71,4187.26,4187.67,1417,4191.279979311137,0
1782172800,4187.51,4192.3,4186.84,4189.35,2747,4191.110166504899,0
1782173100,4189.32,4189.33,4183.71,4184.48,2597,4190.674910584618,0
1782173400,4184.42,4184.42,4178.39,4178.86,2679,4189.880549564334,0
1782173700,4178.86,4182.65,4178.82,4182.27,2465,4189.29888509297,0
1782174000,4182.27,4183.46,4178.88,4182.49,2301,4188.843957744064,0
1782174300,4182.49,4185.78,4180.29,4183.85,2602,4188.496709325492,0
1782174600,4183.84,4186.24,4182.81,4184.3,2609,4188.257307392878,0
1782174900,4184.25,4186.3,4182.26,4186.15,2535,4188.074994925236,0
1782175200,4186.17,4193.52,4184.13,4192.69,2644,4188.184357075216,0
1782175500,4192.68,4194.66,4190.77,4191.23,3005,4188.416299448535,0
1782175800,4191.22,4194.27,4190.18,4191.62,2608,4188.587671834295,0
1782176100,4191.62,4193.86,4190.13,4193.34,2752,4188.77174296701,0
1782176400,4193.35,4198.39,4189.81,4190.02,3512,4188.99962397327,0
1782176700,4190.02,4194.26,4185.15,4188.69,3079,4189.017217292483,0
1782177000,4188.69,4189.44,4185.09,4185.34,2877,4188.9145962779185,0
1782177300,4185.34,4185.9,4172.26,4173.58,3411,4188.350259202541,0
1782177600,4173.62,4180.26,4170.94,4178.3,3186,4187.838050196716,0
1782177900,4178.31,4181.05,4176.79,4178.26,2947,4187.486747198559,0
1782178200,4178.29,4178.71,4168.43,4169.33,3475,4186.821943751143,0
1782178500,4169.32,4170.46,4160.87,4162.04,3449,4185.899032555245,0
1782178800,4162.1,4165.07,4153.6,4154.42,3515,4184.760848068032,0
1782179100,4154.23,4155.71,4150.26,4150.65,3412,4183.5336099571305,0
1782179400,4150.63,4158.15,4150.18,4157.23,3387,4182.511073113584,0
1782179700,4157.19,4163.01,4155.99,4161.36,3321,4181.746170692067,0
1782180000,4161.33,4163.21,4156.81,4159.25,3145,4181.057088377623,0
1782180300,4159.27,4159.28,4151.02,4151.58,3269,4180.202312908102,0
1782180600,4151.56,4153.91,4149.07,4153.69,3079,4179.395002577102,0
1782180900,4153.69,4160.52,4153.48,4158.29,2650,4178.862744081419,0
1782181200,4158.3,4160.32,4157.7,4160.3,2215,4178.477158029648,0
1782181500,4160.3,4163.52,4159.24,4161.98,2351,4178.12846179504,0
1782181800,4161.98,4162.33,4156.48,4156.48,3056,4177.613861139843,0
1782182100,4156.5,4159.31,4156.11,4158.12,2635,4177.178413060683,0
1782182400,4158.12,4158.54,4152.43,4155.04,2922,4176.6575821105835,0
1782182700,4155.04,4156.79,4152.15,4154.09,2928,4176.136834494338,0
1782183000,4154.12,4155.93,4151.84,4152.8,2694,4175.661485148772,0
1782183300,4152.8,4155.05,4146.66,4146.98,2904,4175.083225421677,0
1782183600,4146.99,4149.71,4140.1,4142.34,3383,4174.302357112219,0
1782183900,4142.32,4143.12,4139.61,4140.48,2916,4173.596886546352,0
1782184200,4140.49,4143.16,4138.86,4142.1,2889,4172.933125279258,0
1782184500,4142.1,4144.13,4132.47,4133.29,3206,4172.121822879633,0
1782184800,4133.28,4135.74,4130.91,4135.63,3064,4171.326588771651,0
1782185100,4135.6,4141.01,4134.22,4140.83,2803,4170.713900329259,0
1782185400,4140.8,4141.17,4138.77,4139.32,2552,4170.193667726734,0
1782185700,4139.31,4141.17,4133.66,4136.58,2731,4169.609747943185,0
1782186000,4136.59,4139.27,4134.95,4138.94,2404,4169.121486192137,0
1782186300,4138.93,4140.12,4136.66,4139.15,2324,4168.676946180816,0
1782186600,4139.14,4141.73,4138.99,4140.94,2023,4168.324353088454,0
1782186900,4140.93,4145.08,4139.68,4144.1,2268,4167.972690631741,0
1782187200,4144.1,4146.98,4143.94,4144.86,2199,4167.671500186942,0
1782187500,4144.87,4144.92,4143.04,4144.13,1934,4167.398952134,0
1782187800,4144.11,4144.38,4141.96,4143.32,2045,4167.107759547715,0
1782188100,4143.33,4143.33,4139.17,4139.83,2006,4166.800327705055,0
1782188400,4139.83,4140.26,4137.91,4140.09,2017,4166.482622151398,0
1782188700,4140.1,4140.62,4137.28,4139.97,1989,4166.1749947578055,0
1782189000,4139.97,4139.97,4135.42,4136.48,2302,4165.801686700089,0
1782189300,4136.53,4139.89,4135.28,4139,2292,4165.449204945004,0
1782189600,4139.01,4140.33,4137.18,4138.73,1891,4165.1722222466005,0
1782189900,4138.78,4140.27,4138.23,4138.88,1713,4164.929763551883,0
1782190200,4138.88,4139.54,4134.41,4134.59,1917,4164.633347137662,0
1782190500,4134.6,4134.74,4114.9,4118.18,2948,4163.977403395453,0
1782190800,4118.18,4134.64,4115.47,4134.61,3240,4163.374711395654,0
1782191100,4134.6,4137.51,4127.33,4128.05,2627,4162.93750471124,0
1782191400,4128.02,4130.95,4126.73,4129.89,2493,4162.5109556885,0
