time,open,high,low,close,px_fib_active,px_fib_dir,px_fib_origin,px_fib_e1_price,px_fib_e2_price,px_fib_e3_price,px_fib_e4_price,px_fib_100_price,px_fib_tp1_price,px_fib_tp2_price,px_fib_tp3_price,px_fib_e1_touch,px_fib_e2_touch,px_fib_e3_touch,px_fib_e4_touch,px_fib_100_touch,px_fib_tp1_touch,px_fib_tp2_touch,px_fib_tp3_touch,px_fib_reset_active,px_fibo_half_reached,px_sniper_active,px_sniper_dir,px_sniper_created,px_sniper_confirmed,px_sniper_zone_active,px_sniper_top,px_sniper_bot,px_macro_active,px_macro_dir,px_macro_locked,px_macro_visible,px_macro_new_cycle,px_macro_extended,px_macro_top,px_macro_bot,px_macro_e1_price,px_macro_e2_price,px_macro_e3_price,px_macro_e4_price,px_macro_ll_price,px_macro_tp1_price,px_macro_tp2_price,px_macro_hh_price,px_macro_e1_touch,px_macro_e2_touch,px_macro_e3_touch,px_macro_e4_touch,px_macro_ll_touch,px_macro_tp1_touch,px_macro_tp2_touch,px_macro_hh_touch,px_ifib_active,px_ifib_dir,px_ifib_reset_active,px_ifib_e1_touch,px_ifib_e2_touch,px_ifib_e3_touch,px_ifib_e4_touch,px_ifib_100_touch,px_ifib_tp1_touch,px_ifib_tp2_touch,px_ifib_tp3_touch
1765373400,4198.16,4202.65,4196.1,4202.62,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765374300,4202.57,4205.12,4200.21,4200.76,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765375200,4200.77,4207,4199.12,4205.21,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765376100,4205.21,4206.24,4194.93,4196.66,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765377000,4196.7,4199.82,4191.51,4197.66,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765377900,4197.75,4202.13,4192.14,4192.5,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765378800,4192.51,4201.27,4192.1,4194.6,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765379700,4194.67,4197.17,4188.96,4196.55,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765380600,4196.59,4199.36,4193.27,4193.95,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1765381500,4193.96,4194.78,4190.27,4193.79,1,-1,0,4225.248860000001,4232.74754,4240.24622,4249.173220000001,4259.35,4214.715,4204.18114,4170.08,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,4227.1932400000005,4217.26,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
