time,open,high,low,close,px_eq_tol,px_eq_ph,px_eq_pl,px_eqh_new,px_eql_new,px_eqh_cnt,px_eql_cnt,px_eqh_0,px_eqh_1,px_eqh_2,px_eqh_3,px_eqh_4,px_eqh_5,px_eql_0,px_eql_1,px_eql_2,px_eql_3,px_eql_4,px_eql_5
1781836200,4179.53,4183.69,4177.16,4179.99,2.246131336824849,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781837100,4179.99,4180.82,4171.95,4176.36,2.2455587100883516,,,,,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4170.27,,,,
1781838000,4176.36,4177.3,4166.11,4166.14,2.256597535886587,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781838900,4166.13,4170.78,4165.23,4167.43,2.2392155851688558,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781839800,4167.44,4167.79,4157.99,4162.27,2.2434312734654798,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781840700,4162.27,4162.38,4146.3,4153.5,2.2789626479961695,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781841600,4153.34,4155.18,4143.24,4145.56,2.293083395036249,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781842500,4145.55,4149.86,4141.52,4146.68,2.28892172713552,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781843400,4146.63,4147.44,4133.62,4135.42,2.3122432925928083,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781844300,4135.42,4136.75,4125.15,4125.82,2.323998426740954,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781845200,4125.8,4131.52,4121.83,4130.42,2.3259684582061375,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781846100,4130.42,4134.62,4125.82,4133.72,2.3234490890420156,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781847000,4133.72,4139.39,4130.65,4135.02,2.320680107261179,,4121.83,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781847900,4135.03,4141.62,4132.94,4139.66,2.317666505115957,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781848800,4139.75,4148.12,4133.69,4147.23,2.3434631750136394,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781849700,4147.23,4147.32,4139.35,4141.83,2.3364439115133635,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781850600,4141.98,4145.41,4132.88,4136.06,2.3523650332830948,4148.12,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781851500,4136.06,4150.55,4134.62,4147.68,2.3849677326174343,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781852400,4147.68,4159.69,4147.61,4157.14,2.3976683779650854,,4132.88,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781853300,4157.15,4160.1,4152.14,4152.5,2.389515010405784,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781854200,4152.51,4157.47,4151.14,4154.08,2.373374710197668,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781855100,4154.08,4163.19,4151.64,4158.05,2.383657215993711,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781856000,4158.07,4167.27,4155.36,4165.76,2.3955340716738407,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781856900,4165.71,4177.69,4165.33,4176.05,2.409423390240362,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781857800,4176.25,4178.54,4166.82,4169.02,2.419834922435556,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781858700,4169.01,4169.56,4164.68,4169.13,2.3958382239868454,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781859600,4169.14,4170.95,4163.69,4164.18,2.3842214595071094,4178.54,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781860500,4164.08,4168.26,4162.07,4162.75,2.36748703031697,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781861400,4162.78,4166.09,4162.62,4162.65,2.337487289710632,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781862300,4162.65,4167.3,4161.01,4162.91,2.322187543916419,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781863200,4162.94,4163.09,4152.92,4155.43,2.326593793038091,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781864100,4155.43,4158.27,4152.78,4153.86,2.3075119171773326,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781865000,4153.86,4155.24,4150.28,4151.26,2.286161678833786,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781865900,4151.23,4154.66,4148.14,4149.79,2.2730384452571077,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781866800,4149.79,4150.25,4142.65,4146.81,2.2655776763519673,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781867700,4146.8,4148.95,4143.34,4144.24,2.248316122824926,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781868600,4144.19,4150.57,4141.94,4150.05,2.2464998003684284,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781869500,4150.07,4154.99,4148.65,4152.6,2.2332698043610604,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781870400,4152.61,4160.35,4152.4,4155.7,2.2283544082738427,,4141.94,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781871300,4155.75,4156.15,4151.3,4151.76,2.208037320108363,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781872200,4151.81,4154.7,4148.29,4152.36,2.195926573706195,4160.35,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781873100,4152.36,4180.02,4147.42,4179.1,2.315008042232073,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781874000,4179.09,4182.96,4164.57,4169.93,2.3606578813874335,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781874900,4169.95,4172.17,4161.99,4164.01,2.3643447237596864,,4147.42,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781875800,4164,4168.03,4157.81,4158.6,2.3681578292844896,4182.96,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781876700,4158.59,4160.96,4150.69,4151.44,2.372144672698802,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781877600,4151.48,4154.59,4147.9,4149.35,2.3581517792448285,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781878500,4149.34,4150.09,4143.75,4149.25,2.3426887436599326,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781879400,4149.24,4150.52,4143.24,4144.46,2.332234968786737,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781880300,4144.46,4151.26,4142.68,4149.28,2.3284902694110023,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781881200,4149.28,4153.43,4148.11,4151.38,2.3085204640227857,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781882100,4151.39,4154.03,4149.81,4151.36,2.2834500547423264,,4142.68,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781883000,4151.36,4153.03,4147.69,4148.09,2.2644810536474806,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781883900,4148.09,4153.56,4148.09,4151.08,2.2465414325745323,4154.03,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781884800,4151.09,4151.13,4144.63,4145.29,2.2341106039230416,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781885700,4145.28,4148.89,4144.35,4147.14,2.2121283918445807,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781886600,4147.13,4153.63,4147.11,4151.72,2.2004858240076914,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1781887500,4151.71,4157.87,4151.29,4155.58,2.1893761075275373,,4144.35,,4142.68,10,2,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,4142.68,,,,
1782079200,4142.08,4159.77,4139.42,4151.51,2.2473385853769883,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
1782080100,4151.53,4154.63,4147.9,4152.21,2.2360418136694507,,,,,10,1,5375.65,5223.15,5198.74,5191.74,4623.5,4534.68,4070.45,,,,,
