sos_utc,year,hour_ny,session,dir,bars_alive,stage_max,reached_zone,edge_ever,veto_ever,armed_ever,traded,verdict,edge_price
2025-02-07T14:15:00,2025,09,NewYork,long,61,4,True,False,True,False,False,no FVG in the zone,
2025-02-11T12:45:00,2025,07,London,short,82,2,False,True,False,True,False,never retraced to 0.5,2921.34
2025-02-12T17:00:00,2025,12,NewYork,long,36,2,False,True,False,True,False,never retraced to 0.5,2881.95
2025-02-14T12:30:00,2025,07,London,short,251,4,True,True,False,True,True,traded,2926.5
2025-02-19T09:15:00,2025,04,London,long,81,2,False,True,False,True,False,never retraced to 0.5,2907.83
2025-02-25T15:15:00,2025,10,NewYork,short,154,3,True,True,True,True,True,traded,2934.79
2025-03-06T09:45:00,2025,04,London,short,216,4,True,True,True,True,True,traded,2915.1
2025-03-12T16:00:00,2025,12,NewYork,long,31,2,False,False,False,False,False,never retraced to 0.5,
2025-03-20T07:45:00,2025,03,Asia,short,8,2,False,False,False,False,False,never retraced to 0.5,
2025-03-27T09:45:00,2025,05,London,long,19,2,False,True,True,True,False,never retraced to 0.5,3011.86
2025-04-03T10:45:00,2025,06,London,short,104,4,True,True,True,True,True,traded,3137.76
2025-04-07T01:30:00,2025,21,Asia,long,60,4,True,True,False,True,True,traded,3004.68
2025-04-07T16:45:00,2025,12,NewYork,short,161,4,True,True,False,True,True,traded,3030.0
2025-04-09T11:15:00,2025,07,London,long,9,2,False,True,False,True,False,never retraced to 0.5,2999.58
2025-04-17T01:45:00,2025,21,Asia,short,20,4,True,True,False,True,True,traded,3342.73
2025-04-22T07:00:00,2025,03,Asia,short,87,4,True,True,True,True,True,traded,3471.46
2025-04-24T01:00:00,2025,21,Asia,long,456,4,True,True,True,True,True,traded,3294.07
2025-05-01T00:15:00,2025,20,Asia,short,37,2,False,False,True,False,False,never retraced to 0.5,
2025-05-02T00:15:00,2025,20,Asia,long,28,2,False,True,False,True,False,never retraced to 0.5,3223.66
2025-05-02T13:00:00,2025,09,NewYork,short,50,4,True,True,False,True,True,traded,3257.86
2025-05-05T02:45:00,2025,22,Asia,long,22,2,False,False,False,False,False,never retraced to 0.5,
2025-05-08T06:00:00,2025,02,Asia,short,39,2,False,True,True,True,False,never retraced to 0.5,3409.7
2025-05-09T04:45:00,2025,00,Asia,long,40,2,False,True,False,True,False,never retraced to 0.5,3295.34
2025-05-11T22:00:00,2025,18,Late,short,11,2,False,True,True,True,False,never retraced to 0.5,3314.28
2025-05-15T13:00:00,2025,09,NewYork,long,278,4,True,True,True,True,True,traded,3158.35
2025-05-21T12:15:00,2025,08,London,short,26,4,True,False,False,False,False,no FVG in the zone,
2025-05-22T08:45:00,2025,04,London,short,103,4,True,True,True,True,True,traded,3318.71
2025-05-23T11:45:00,2025,07,London,long,21,2,False,True,False,True,False,never retraced to 0.5,3311.89
2025-05-26T00:15:00,2025,20,Asia,short,32,4,True,True,False,True,True,traded,3352.08
2025-05-29T16:00:00,2025,12,NewYork,long,144,4,True,True,True,True,True,traded,3278.04
2025-06-03T01:00:00,2025,21,Asia,short,50,3,True,False,False,False,False,no FVG in the zone,
2025-06-04T01:30:00,2025,21,Asia,long,51,4,True,False,False,False,False,no FVG in the zone,
2025-06-05T15:30:00,2025,11,NewYork,short,85,3,True,True,False,True,False,"limit rested, never filled",3382.41
2025-06-09T06:45:00,2025,02,Asia,long,33,3,True,False,False,False,False,no FVG in the zone,
2025-06-10T11:00:00,2025,07,London,long,8,2,False,False,False,False,False,never retraced to 0.5,
2025-06-11T12:30:00,2025,08,London,long,82,4,True,True,False,True,True,traded,3339.57
2025-06-16T13:45:00,2025,09,NewYork,short,62,2,False,False,False,False,False,never retraced to 0.5,
2025-06-20T09:30:00,2025,05,London,long,15,4,True,False,False,False,False,no FVG in the zone,
2025-06-24T05:00:00,2025,01,Asia,short,27,2,False,True,True,True,False,never retraced to 0.5,3360.96
2025-06-25T01:45:00,2025,21,Asia,long,70,3,True,True,False,True,True,traded,3312.07
2025-06-26T12:45:00,2025,08,London,short,51,4,True,True,False,True,False,"limit rested, never filled",3341.76
2025-06-30T04:45:00,2025,00,Asia,long,47,2,False,False,False,False,False,never retraced to 0.5,
2025-07-03T12:30:00,2025,08,London,short,121,3,True,True,True,True,False,divergence / extreme-RSI veto,3345.05
2025-07-07T13:45:00,2025,09,NewYork,long,96,4,True,False,False,False,False,no FVG in the zone,
2025-07-08T15:00:00,2025,11,NewYork,short,64,2,False,True,True,True,False,never retraced to 0.5,3323.4
2025-07-09T14:30:00,2025,10,NewYork,long,17,2,False,False,False,False,False,never retraced to 0.5,
2025-07-10T13:45:00,2025,09,NewYork,short,38,4,True,True,False,True,True,traded,3324.82
2025-07-14T12:30:00,2025,08,London,short,7,2,False,False,False,False,False,never retraced to 0.5,
2025-07-15T04:00:00,2025,00,Asia,long,36,4,True,False,False,False,False,no FVG in the zone,
2025-07-15T13:15:00,2025,09,NewYork,short,180,4,True,False,False,False,False,no FVG in the zone,
2025-07-24T02:00:00,2025,22,Asia,short,28,2,False,True,False,True,False,never retraced to 0.5,3421.53
2025-07-24T14:30:00,2025,10,NewYork,long,66,4,True,False,False,False,False,no FVG in the zone,
2025-07-25T08:15:00,2025,04,London,short,112,2,False,False,False,False,False,never retraced to 0.5,
2025-07-31T08:00:00,2025,04,London,long,109,4,True,False,False,False,False,no FVG in the zone,
2025-08-05T09:45:00,2025,05,London,short,20,4,True,False,False,False,False,no FVG in the zone,
2025-08-13T07:00:00,2025,03,Asia,long,8,2,False,True,False,True,False,never retraced to 0.5,3341.88
2025-08-13T18:15:00,2025,14,NewYork,short,19,4,True,False,False,False,False,no FVG in the zone,
2025-08-18T04:00:00,2025,00,Asia,long,135,4,True,True,False,True,True,traded,3335.47
2025-08-19T15:00:00,2025,11,NewYork,short,271,4,True,True,False,True,True,traded,3350.51
2025-08-22T14:00:00,2025,10,NewYork,long,129,2,False,True,True,True,False,never retraced to 0.5,3335.47
2025-08-27T04:00:00,2025,00,Asia,short,49,4,True,False,False,False,False,no FVG in the zone,
2025-08-27T16:30:00,2025,12,NewYork,long,60,3,True,False,False,False,False,no FVG in the zone,
2025-09-01T01:00:00,2025,21,Asia,short,2,3,True,False,False,False,False,no FVG in the zone,
2025-09-04T03:00:00,2025,23,Asia,short,129,4,True,True,True,True,True,traded,3552.85
2025-09-05T12:30:00,2025,08,London,long,69,2,False,True,True,True,False,never retraced to 0.5,3550.61
2025-09-09T06:15:00,2025,02,Asia,short,27,4,True,False,False,False,False,no FVG in the zone,
2025-09-09T15:00:00,2025,11,NewYork,short,22,2,False,True,False,True,False,never retraced to 0.5,3657.42
2025-09-10T09:30:00,2025,05,London,long,89,4,True,False,False,False,False,no FVG in the zone,
2025-09-11T09:00:00,2025,05,London,short,201,4,True,False,False,False,False,no FVG in the zone,
2025-09-15T13:30:00,2025,09,NewYork,long,69,2,False,True,False,True,False,never retraced to 0.5,3640.62
2025-09-16T15:00:00,2025,11,NewYork,short,37,4,True,False,False,False,False,no FVG in the zone,
2025-09-19T17:30:00,2025,13,NewYork,long,25,2,False,False,False,False,False,never retraced to 0.5,
2025-09-24T16:45:00,2025,12,NewYork,short,217,4,True,False,True,False,False,no FVG in the zone,
